SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2,1,3,0,1154
2,1,3,0,904
2,1,2,0,930
2,3,1799,1383,1219
2,3,1601,1385,1592
2,4,2637,2386,548
2,4,3466,2371,609
2,2,1583,0,1261
2,2,1480,0,902
2,2,1476,0,890
2,3,1654,1555,1168
2,3,1542,1231,1416
2,3,1564,1369,1312
2,4,2780,2689,578
2,4,2846,2378,617
2,1,3,0,822
2,2,1492,0,1376
2,1,3,0,1654
2,2,1495,0,1207
2,1,3,0,822
2,1,2,0,657
2,1,1,0,649
2,1,2,0,767
2,1,3,0,1289
2,3,1891,1478,2018
2,1,2,0,1022
2,3,1770,1718,1396
2,1,2,0,852
2,1,3,0,1261
2,1,4,0,1463
2,4,3954,3408,874
2,1,2,0,718
2,4,2899,2534,578
2,2,2058,0,822
2,2,1486,0,832
2,2,1866,0,998
2,3,1548,1397,1304
2,3,1461,1247,1123
2,3,1564,1367,1092
2,4,4782,2710,562
2,4,3231,2479,575
2,2,1452,0,1206
2,2,1638,0,992
2,1,4,0,1018
2,1,2,0,1055
2,1,2,0,1008
2,1,2,0,981
2,1,39,0,824
2,1,2,0,649
2,3,2430,1745,1452
2,3,1519,1384,1097
2,4,2766,2576,554
2,4,4201,2814,624
2,2,1572,0,881
2,2,1745,0,878
2,2,1519,0,797
2,1,5,0,1186
2,3,1994,1782,1275
2,1,4,0,1033
2,1,3,0,839
2,3,1590,1513,1472
2,1,2,0,924
2,1,3,0,1252
2,3,2333,1950,1152
2,1,2,0,743
2,4,2914,2529,560
2,4,2846,2377,525
2,2,1665,0,941
2,2,1623,0,876
2,1,3,0,915
2,1,2,0,958
2,1,2,0,714
2,1,3,0,908
2,3,1967,1347,1399
2,1,2,0,1365
2,3,1621,1248,1681
2,1,2,0,836
2,4,3153,2251,565
2,4,3298,2362,614
2,2,1455,0,848
2,2,1513,0,810
2,2,1712,0,914
2,3,1448,1216,1194
2,3,1517,1219,1053
2,3,1767,2386,1213
2,4,2838,2546,594
2,4,2808,2407,531
2,2,1895,0,780
2,2,1557,0,922
2,1,2,0,1054
2,1,1,0,865
2,1,2,0,899
2,1,3,0,798
2,1,2,0,911
2,1,2,0,640
2,3,2517,2349,1685
2,3,2034,1656,1336
2,1,5,0,1683
2,4,4184,5181,765
2,1,5,0,1451
2,1,3,0,1707
2,1,3,0,1258
2,4,5526,5753,832
2,1,2,0,1194
2,2,2006,0,1520
