SB_Delay,comm_type,Host_Delay,Border_Delay,Controller_Delay
2000,2,499,0,703
2000,2,542,0,803
2000,3,551,313,837
2000,3,422,347,1105
2000,3,624,664,1191
2000,3,471,294,828
2000,4,808,563,504
2000,4,823,529,401
2000,2,541,0,1104
2000,2,516,0,908
2000,3,483,295,849
2000,3,511,302,1239
2000,4,1230,752,438
2000,4,943,613,497
2000,2,469,0,841
2000,2,398,0,758
2000,2,412,0,941
2000,3,697,395,1055
2000,3,544,309,1246
2000,3,477,551,1027
2000,4,876,515,432
2000,4,805,483,411
2000,2,516,0,890
2000,2,413,0,803
2000,3,499,322,1022
2000,3,445,361,784
2000,3,552,328,867
2000,3,529,606,1003
2000,4,887,642,390
2000,4,757,497,407
2000,2,669,0,858
2000,2,548,0,992
2000,3,460,297,869
2000,3,525,322,908
2000,4,746,584,418
2000,4,758,734,429
2000,2,462,0,946
2000,2,475,0,759
2000,2,554,0,836
2000,2,632,0,720
2000,3,555,638,1150
2000,3,476,372,849
2000,3,426,297,884
2000,3,509,339,811
2000,4,900,799,498
2000,4,756,544,442
2000,2,587,0,780
2000,2,496,0,693
2000,3,411,321,918
2000,3,439,312,997
2000,4,905,587,398
2000,4,708,505,370
2000,2,530,0,1119
2000,2,567,0,922
2000,2,515,0,1022
2000,2,475,0,756
2000,1,2,0,678
2000,1,4,0,1516
2000,1,3,0,719
2000,1,2,0,835
2000,3,449,302,899
2000,3,638,397,967
2000,3,602,310,912
2000,4,909,769,538
2000,4,755,503,397
2000,2,500,0,824
2000,2,515,0,848
2000,3,433,313,929
2000,3,607,1017,1329
2000,4,1219,899,708
2000,4,748,688,495
2000,2,587,0,887
2000,2,597,0,1115
2000,2,516,0,1024
2000,3,398,332,1048
2000,3,496,395,872
2000,3,465,572,1028
2000,4,855,768,693
2000,4,989,822,514
2000,2,443,0,1128
2000,2,573,0,1028
2000,3,494,307,1222
2000,3,521,301,960
2000,4,903,812,592
2000,4,981,672,577
2000,2,541,0,959
2000,2,558,0,884
2000,2,407,0,897
2000,1,3,0,816
2000,1,3,0,820
2000,1,3,0,1149
2000,1,3,0,762
2000,3,1041,589,1723
2000,3,664,400,1110
2000,4,1188,589,587
2000,4,925,993,540
2000,2,671,0,969
2000,2,516,0,897
2000,2,452,0,682
2000,2,506,0,935
2000,3,696,394,1176
2000,3,444,326,996
2000,3,479,319,781
2000,3,584,295,753
2000,4,753,530,373
2000,4,906,545,437
2000,2,497,0,1020
2000,2,475,0,745
2000,3,600,436,1566
2000,3,514,425,982
2000,4,995,596,498
2000,4,780,513,373
2000,2,442,0,995
2000,2,409,0,993
2000,2,586,0,909
2000,2,516,0,810
2000,3,455,307,896
2000,3,544,352,767
2000,3,469,305,783
2000,3,682,371,905
2000,4,753,529,388
2000,4,763,545,441
2000,2,459,0,958
2000,2,547,0,793
2000,3,584,445,1073
2000,3,558,446,980
2000,4,793,719,442
2000,4,906,592,536
2000,2,545,0,1040
2000,2,484,0,1026
2000,2,485,0,892
2000,2,513,0,688
2000,3,477,321,755
2000,3,480,359,777
2000,3,491,373,1019
2000,3,473,368,955
2000,4,927,522,405
2000,4,896,510,377
2000,2,535,0,758
2000,2,528,0,914
2000,3,770,682,1198
2000,3,724,464,1368
2000,4,923,661,416
2000,4,887,608,474
2000,2,587,0,1097
2000,2,579,0,752
2000,2,525,0,738
2000,2,528,0,679
2000,3,505,341,795
2000,3,507,310,914
2000,3,494,330,943
2000,3,485,319,881
2000,4,829,757,486
2000,4,899,571,480
2000,2,526,0,962
2000,2,484,0,798
2000,3,535,470,1153
2000,3,539,465,1028
2000,4,799,519,370
2000,4,912,695,405
2000,2,492,0,798
2000,2,485,0,792
2000,2,551,0,801
2000,2,479,0,839
2000,3,502,441,863
2000,3,487,295,935
2000,3,567,311,826
2000,3,423,318,847
2000,4,1044,606,446
2000,4,1290,1179,417
2000,2,618,0,846
2000,2,615,0,877
2000,3,1098,614,1588
2000,3,570,399,1009
2000,4,787,544,370
2000,4,832,586,423
2000,2,532,0,804
2000,2,466,0,737
2000,2,544,0,1065
2000,2,456,0,906
2000,3,493,367,941
2000,3,436,305,796
2000,3,414,283,1353
2000,3,566,377,877
2000,4,840,678,418
2000,4,1260,945,475
2000,2,512,0,842
2000,2,468,0,979
2000,3,614,503,1508
2000,3,536,413,1280
2000,4,757,616,407
2000,4,832,613,436
2000,2,545,0,852
2000,2,492,0,772
2000,2,521,0,964
2000,2,574,0,1414
2000,3,432,305,901
2000,3,524,432,860
2000,3,459,294,793
2000,3,514,543,929
2000,4,1217,554,424
2000,4,1314,1299,631
2000,2,595,0,766
2000,2,692,0,873
2000,3,697,487,1293
2000,3,633,471,1152
2000,4,857,527,386
2000,4,802,700,400
2000,2,597,0,816
2000,2,524,0,814
2000,2,482,0,805
2000,2,546,0,937
2000,3,530,306,941
2000,3,464,304,1039
2000,3,557,483,856
2000,3,485,280,841
2000,4,945,620,462
2000,4,1228,1460,520
2000,2,486,0,733
2000,2,529,0,753
2000,3,676,467,1277
2000,3,575,384,1310
2000,4,784,600,369
2000,4,947,586,446
2000,2,419,0,909
2000,2,459,0,727
2000,2,521,0,794
2000,2,509,0,1051
2000,3,526,673,1001
2000,3,460,338,801
2000,3,659,322,1208
2000,3,592,380,1170
2000,4,1035,1656,476
2000,4,1105,553,393
2000,2,452,0,747
2000,2,658,0,862
2000,3,665,483,1032
2000,3,515,374,1026
2000,4,906,568,440
2000,4,802,772,488
2000,2,592,0,937
2000,2,468,0,693
2000,2,472,0,941
2000,2,642,0,803
2000,3,457,346,856
2000,3,719,334,877
2000,3,454,301,1040
2000,3,494,310,906
2000,4,881,794,486
2000,4,787,499,383
2000,2,487,0,858
2000,2,395,0,997
2000,3,586,480,1048
2000,3,519,329,854
2000,4,1701,1460,551
2000,4,836,731,404
2000,2,583,0,900
2000,2,550,0,756
2000,2,449,0,998
2000,2,519,0,975
2000,3,475,320,752
2000,3,477,335,784
2000,3,514,375,784
2000,3,625,371,806
2000,4,795,668,537
2000,4,787,655,427
2000,2,416,0,786
2000,2,720,0,713
2000,3,639,569,1374
2000,3,550,350,898
2000,4,1103,594,408
2000,4,742,577,354
2000,2,609,0,787
2000,2,637,0,731
2000,2,505,0,714
2000,2,536,0,1051
2000,3,459,447,1051
2000,3,471,287,739
2000,3,400,313,786
2000,3,406,305,1130
2000,4,1339,1156,522
2000,4,766,544,393
2000,2,486,0,867
2000,2,504,0,794
2000,3,676,530,1296
2000,3,598,316,941
2000,4,1417,829,460
2000,4,789,536,398
2000,2,599,0,1048
2000,2,496,0,1166
2000,2,490,0,740
2000,2,410,0,684
2000,3,431,317,770
2000,3,448,359,811
2000,3,437,377,926
2000,3,585,331,818
2000,4,780,529,385
2000,4,694,514,452
2000,2,419,0,727
2000,2,533,0,763
2000,3,724,693,1459
2000,3,762,569,1350
2000,4,1212,915,573
2000,4,965,717,537
2000,2,437,0,715
2000,2,564,0,745
2000,2,476,0,954
2000,2,466,0,681
2000,3,555,399,826
2000,3,392,288,879
2000,3,661,368,970
2000,3,561,639,795
2000,4,798,632,384
2000,4,845,804,472
2000,2,529,0,922
2000,2,514,0,811
2000,3,647,523,1538
2000,3,580,405,1112
2000,4,1222,1031,492
2000,4,931,651,431
2000,2,542,0,925
2000,2,578,0,709
2000,2,461,0,1011
2000,2,561,0,742
2000,3,434,328,785
2000,3,618,346,902
2000,3,481,313,793
2000,3,480,343,926
2000,4,1445,539,403
2000,4,807,561,420
2000,2,483,0,895
2000,2,510,0,1117
2000,3,660,421,1018
2000,3,460,333,1140
2000,4,777,552,406
2000,4,961,924,712
2000,2,615,0,763
2000,2,481,0,786
2000,2,528,0,713
2000,2,438,0,706
2000,3,571,349,967
2000,3,504,285,753
2000,3,576,322,854
